"REF_DATE","GEO","DGUID","Value","Type of cannabis","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021/2022","Canada","2021A000011124","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436660","1.1.1","4027928","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436647","1.1.2","2861838","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436648","1.1.3","729178","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436649","1.1.4","158283","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436650","1.1.5","166336","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436651","1.1.6","59556","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436652","1.1.7","52737","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436653","1.3.1","132","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436654","1.3.2","94","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436655","1.3.3","24","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436656","1.3.4","5","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436657","1.3.5","5","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436658","1.3.6","2","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436659","1.3.7","2","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436661","2.1.1","63125","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436662","2.1.2","53553","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436663","2.1.3","2415","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436664","2.1.4","3100","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436665","2.1.5","3011","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436666","2.1.6","797","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436667","2.1.7","249","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436668","2.3.1","147","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436669","2.3.2","124","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436670","2.3.3","6","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436671","2.3.4","7","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436672","2.3.5","7","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436673","2.3.6","2","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436674","2.3.7","1","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436675","3.1.1","21894","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436676","3.1.2","17515","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436677","3.1.3","876","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436678","3.1.4","1095","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436679","3.1.5","876","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436680","3.1.6","219","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436681","3.1.7","1313","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436682","3.3.1","165","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436683","3.3.2","132","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436684","3.3.3","7","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436685","3.3.4","8","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436686","3.3.5","7","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436687","3.3.6","2","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436688","3.3.7","10","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436689","4.1.1","101671","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436690","4.1.2","67988","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436691","4.1.3","17467","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436692","4.1.4","7755","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436693","4.1.5","4459","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436694","4.1.6","1916","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436695","4.1.7","2086","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436696","4.3.1","125","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436697","4.3.2","83","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436698","4.3.3","21","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436699","4.3.4","10","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436700","4.3.5","5","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436701","4.3.6","2","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436702","4.3.7","3","","","","0"
"2021/2022","New Brunswick","2021A000213","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436703","5.1.1","83828","","","","0"
"2021/2022","New Brunswick","2021A000213","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436704","5.1.2","51180","","","","0"
"2021/2022","New Brunswick","2021A000213","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436705","5.1.3","21570","","","","0"
"2021/2022","New Brunswick","2021A000213","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436706","5.1.4","4006","","","","0"
"2021/2022","New Brunswick","2021A000213","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436707","5.1.5","5168","","","","0"
"2021/2022","New Brunswick","2021A000213","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436708","5.1.6","1315","","","","0"
"2021/2022","New Brunswick","2021A000213","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436709","5.1.7","589","","","","0"
"2021/2022","New Brunswick","2021A000213","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436710","5.3.1","130","","","","0"
"2021/2022","New Brunswick","2021A000213","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436711","5.3.2","79","","","","0"
"2021/2022","New Brunswick","2021A000213","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436712","5.3.3","33","","","","0"
"2021/2022","New Brunswick","2021A000213","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436713","5.3.4","6","","","","0"
"2021/2022","New Brunswick","2021A000213","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436714","5.3.5","8","","","","0"
"2021/2022","New Brunswick","2021A000213","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436715","5.3.6","2","","","","0"
"2021/2022","New Brunswick","2021A000213","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436716","5.3.7","1","","","","0"
"2021/2022","Quebec","2021A000224","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436717","6.1.1","600545","","","","0"
"2021/2022","Quebec","2021A000224","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436718","6.1.2","518465","","","","0"
"2021/2022","Quebec","2021A000224","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436719","6.1.3","49277","","","","0"
"2021/2022","Quebec","2021A000224","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436720","6.1.4","28570","","","","0"
"2021/2022","Quebec","2021A000224","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436721","6.1.5","0","","","","0"
"2021/2022","Quebec","2021A000224","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436722","6.1.6","4233","","","","0"
"2021/2022","Quebec","2021A000224","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436723","6.1.7","0","","","","0"
"2021/2022","Quebec","2021A000224","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436724","6.3.1","89","","","","0"
"2021/2022","Quebec","2021A000224","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436725","6.3.2","77","","","","0"
"2021/2022","Quebec","2021A000224","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436726","6.3.3","7","","","","0"
"2021/2022","Quebec","2021A000224","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436727","6.3.4","4","","","","0"
"2021/2022","Quebec","2021A000224","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436728","6.3.5","0","","","","0"
"2021/2022","Quebec","2021A000224","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436729","6.3.6","1","","","","0"
"2021/2022","Quebec","2021A000224","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436730","6.3.7","0","","","","0"
"2021/2022","Ontario","2021A000235","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436731","7.1.1","1504017","","","","0"
"2021/2022","Ontario","2021A000235","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436732","7.1.2","1045964","","","","0"
"2021/2022","Ontario","2021A000235","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436733","7.1.3","293970","","","","0"
"2021/2022","Ontario","2021A000235","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436734","7.1.4","52136","","","","0"
"2021/2022","Ontario","2021A000235","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436735","7.1.5","73540","","","","0"
"2021/2022","Ontario","2021A000235","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436736","7.1.6","27796","","","","0"
"2021/2022","Ontario","2021A000235","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436737","7.1.7","10611","","","","0"
"2021/2022","Ontario","2021A000235","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436738","7.3.1","126","","","","0"
"2021/2022","Ontario","2021A000235","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436739","7.3.2","88","","","","0"
"2021/2022","Ontario","2021A000235","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436740","7.3.3","25","","","","0"
"2021/2022","Ontario","2021A000235","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436741","7.3.4","4","","","","0"
"2021/2022","Ontario","2021A000235","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436742","7.3.5","6","","","","0"
"2021/2022","Ontario","2021A000235","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436743","7.3.6","2","","","","0"
"2021/2022","Ontario","2021A000235","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436744","7.3.7","1","","","","0"
"2021/2022","Manitoba","2021A000246","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436745","8.1.1","153829","","","","0"
"2021/2022","Manitoba","2021A000246","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436746","8.1.2","103783","","","","0"
"2021/2022","Manitoba","2021A000246","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436747","8.1.3","31289","","","","0"
"2021/2022","Manitoba","2021A000246","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436748","8.1.4","6590","","","","0"
"2021/2022","Manitoba","2021A000246","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436749","8.1.5","8200","","","","0"
"2021/2022","Manitoba","2021A000246","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436750","8.1.6","3168","","","","0"
"2021/2022","Manitoba","2021A000246","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436751","8.1.7","799","","","","0"
"2021/2022","Manitoba","2021A000246","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436752","8.3.1","145","","","","0"
"2021/2022","Manitoba","2021A000246","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436753","8.3.2","97","","","","0"
"2021/2022","Manitoba","2021A000246","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436754","8.3.3","29","","","","0"
"2021/2022","Manitoba","2021A000246","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436755","8.3.4","6","","","","0"
"2021/2022","Manitoba","2021A000246","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436756","8.3.5","8","","","","0"
"2021/2022","Manitoba","2021A000246","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436757","8.3.6","3","","","","0"
"2021/2022","Manitoba","2021A000246","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436758","8.3.7","1","","","","0"
"2021/2022","Saskatchewan","2021A000247","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436759","9.1.1","165698","","","","0"
"2021/2022","Saskatchewan","2021A000247","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436760","9.1.2","115050","","","","0"
"2021/2022","Saskatchewan","2021A000247","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436761","9.1.3","34947","","","","0"
"2021/2022","Saskatchewan","2021A000247","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436762","9.1.4","6490","","","","0"
"2021/2022","Saskatchewan","2021A000247","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436763","9.1.5","5840","","","","0"
"2021/2022","Saskatchewan","2021A000247","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436764","9.1.6","1978","","","","0"
"2021/2022","Saskatchewan","2021A000247","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436765","9.1.7","1393","","","","0"
"2021/2022","Saskatchewan","2021A000247","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436766","9.3.1","185","","","","0"
"2021/2022","Saskatchewan","2021A000247","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436767","9.3.2","129","","","","0"
"2021/2022","Saskatchewan","2021A000247","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436768","9.3.3","39","","","","0"
"2021/2022","Saskatchewan","2021A000247","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436769","9.3.4","7","","","","0"
"2021/2022","Saskatchewan","2021A000247","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436770","9.3.5","7","","","","0"
"2021/2022","Saskatchewan","2021A000247","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436771","9.3.6","2","","","","0"
"2021/2022","Saskatchewan","2021A000247","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436772","9.3.7","2","","","","0"
"2021/2022","Alberta","2021A000248","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436773","10.1.1","728162","","","","0"
"2021/2022","Alberta","2021A000248","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436774","10.1.2","482242","","","","0"
"2021/2022","Alberta","2021A000248","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436775","10.1.3","176475","","","","0"
"2021/2022","Alberta","2021A000248","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436776","10.1.4","23231","","","","0"
"2021/2022","Alberta","2021A000248","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436777","10.1.5","31863","","","","0"
"2021/2022","Alberta","2021A000248","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436778","10.1.6","9534","","","","0"
"2021/2022","Alberta","2021A000248","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436779","10.1.7","4817","","","","0"
"2021/2022","Alberta","2021A000248","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436780","10.3.1","210","","","","0"
"2021/2022","Alberta","2021A000248","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436781","10.3.2","139","","","","0"
"2021/2022","Alberta","2021A000248","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436782","10.3.3","51","","","","0"
"2021/2022","Alberta","2021A000248","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436783","10.3.4","7","","","","0"
"2021/2022","Alberta","2021A000248","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436784","10.3.5","9","","","","0"
"2021/2022","Alberta","2021A000248","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436785","10.3.6","3","","","","0"
"2021/2022","Alberta","2021A000248","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436786","10.3.7","1","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436787","11.1.1","585317","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436788","11.1.2","391671","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436789","11.1.3","97445","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436790","11.1.4","24640","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436791","11.1.5","32508","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436792","11.1.6","8362","","","","0"
