"REF_DATE","GEO","DGUID","Value","Type of cannabis","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021/2022","British Columbia","2021A000259","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436793","11.1.7","30691","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436794","11.3.1","137","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436795","11.3.2","92","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436796","11.3.3","23","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436797","11.3.4","6","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436798","11.3.5","8","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436799","11.3.6","2","","","","0"
"2021/2022","British Columbia","2021A000259","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436800","11.3.7","7","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436801","12.1.1","10016","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436802","12.1.2","7139","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436803","12.1.3","1727","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436804","12.1.4","342","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436805","12.1.5","575","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436806","12.1.6","116","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436807","12.1.7","117","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436808","12.3.1","291","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436809","12.3.2","207","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436810","12.3.3","50","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436811","12.3.4","10","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436812","12.3.5","17","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436813","12.3.6","3","","","","0"
"2021/2022","Yukon","2021A000260","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436814","12.3.7","3","","","","0"
"2021/2022","Northwest Territories","2021A000261","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436815","13.1.1","","x","","","0"
"2021/2022","Northwest Territories","2021A000261","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436816","13.1.2","","x","","","0"
"2021/2022","Northwest Territories","2021A000261","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436817","13.1.3","","x","","","0"
"2021/2022","Northwest Territories","2021A000261","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436818","13.1.4","","x","","","0"
"2021/2022","Northwest Territories","2021A000261","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436819","13.1.5","","x","","","0"
"2021/2022","Northwest Territories","2021A000261","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436820","13.1.6","","x","","","0"
"2021/2022","Northwest Territories","2021A000261","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436821","13.1.7","","x","","","0"
"2021/2022","Northwest Territories","2021A000261","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436822","13.3.1","","x","","","0"
"2021/2022","Northwest Territories","2021A000261","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436823","13.3.2","","x","","","0"
"2021/2022","Northwest Territories","2021A000261","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436824","13.3.3","","x","","","0"
"2021/2022","Northwest Territories","2021A000261","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436825","13.3.4","","x","","","0"
"2021/2022","Northwest Territories","2021A000261","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436826","13.3.5","","x","","","0"
"2021/2022","Northwest Territories","2021A000261","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436827","13.3.6","","x","","","0"
"2021/2022","Northwest Territories","2021A000261","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436828","13.3.7","","x","","","0"
"2021/2022","Nunavut","2021A000262","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436829","14.1.1","","x","","","0"
"2021/2022","Nunavut","2021A000262","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436830","14.1.2","","x","","","0"
"2021/2022","Nunavut","2021A000262","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436831","14.1.3","","x","","","0"
"2021/2022","Nunavut","2021A000262","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436832","14.1.4","","x","","","0"
"2021/2022","Nunavut","2021A000262","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436833","14.1.5","","x","","","0"
"2021/2022","Nunavut","2021A000262","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436834","14.1.6","","x","","","0"
"2021/2022","Nunavut","2021A000262","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436835","14.1.7","","x","","","0"
"2021/2022","Nunavut","2021A000262","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436836","14.3.1","","x","","","0"
"2021/2022","Nunavut","2021A000262","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436837","14.3.2","","x","","","0"
"2021/2022","Nunavut","2021A000262","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436838","14.3.3","","x","","","0"
"2021/2022","Nunavut","2021A000262","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436839","14.3.4","","x","","","0"
"2021/2022","Nunavut","2021A000262","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436840","14.3.5","","x","","","0"
"2021/2022","Nunavut","2021A000262","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436841","14.3.6","","x","","","0"
"2021/2022","Nunavut","2021A000262","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436842","14.3.7","","x","","","0"
"2022/2023","Canada","2021A000011124","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436660","1.1.1","4663876","","","","0"
"2022/2023","Canada","2021A000011124","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436647","1.1.2","3026970","","","","0"
"2022/2023","Canada","2021A000011124","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436648","1.1.3","1159209","","","","0"
"2022/2023","Canada","2021A000011124","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436649","1.1.4","170325","","","","0"
"2022/2023","Canada","2021A000011124","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436650","1.1.5","211223","","","","0"
"2022/2023","Canada","2021A000011124","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436651","1.1.6","75004","","","","0"
"2022/2023","Canada","2021A000011124","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436652","1.1.7","21145","","","","0"
"2022/2023","Canada","2021A000011124","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436653","1.3.1","150","","","","0"
"2022/2023","Canada","2021A000011124","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436654","1.3.2","97","","","","0"
"2022/2023","Canada","2021A000011124","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436655","1.3.3","37","","","","0"
"2022/2023","Canada","2021A000011124","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436656","1.3.4","5","","","","0"
"2022/2023","Canada","2021A000011124","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436657","1.3.5","7","","","","0"
"2022/2023","Canada","2021A000011124","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436658","1.3.6","2","","","","0"
"2022/2023","Canada","2021A000011124","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436659","1.3.7","1","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436661","2.1.1","68329","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436662","2.1.2","47833","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436663","2.1.3","9846","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436664","2.1.4","3822","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436665","2.1.5","5312","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436666","2.1.6","1102","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436667","2.1.7","414","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436668","2.3.1","157","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436669","2.3.2","110","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436670","2.3.3","23","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436671","2.3.4","9","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436672","2.3.5","12","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436673","2.3.6","3","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436674","2.3.7","1","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436675","3.1.1","22501","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436676","3.1.2","16545","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436677","3.1.3","2144","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436678","3.1.4","1017","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436679","3.1.5","1123","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436680","3.1.6","342","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436681","3.1.7","1330","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436682","3.3.1","163","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436683","3.3.2","120","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436684","3.3.3","16","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436685","3.3.4","7","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436686","3.3.5","8","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436687","3.3.6","2","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436688","3.3.7","10","","","","0"
"2022/2023","Nova Scotia","2021A000212","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436689","4.1.1","111083","","","","0"
"2022/2023","Nova Scotia","2021A000212","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436690","4.1.2","70895","","","","0"
"2022/2023","Nova Scotia","2021A000212","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436691","4.1.3","22237","","","","0"
"2022/2023","Nova Scotia","2021A000212","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436692","4.1.4","8300","","","","0"
"2022/2023","Nova Scotia","2021A000212","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436693","4.1.5","5550","","","","0"
"2022/2023","Nova Scotia","2021A000212","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436694","4.1.6","2168","","","","0"
"2022/2023","Nova Scotia","2021A000212","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436695","4.1.7","1933","","","","0"
"2022/2023","Nova Scotia","2021A000212","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436696","4.3.1","132","","","","0"
"2022/2023","Nova Scotia","2021A000212","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436697","4.3.2","84","","","","0"
"2022/2023","Nova Scotia","2021A000212","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436698","4.3.3","26","","","","0"
"2022/2023","Nova Scotia","2021A000212","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436699","4.3.4","10","","","","0"
"2022/2023","Nova Scotia","2021A000212","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436700","4.3.5","7","","","","0"
"2022/2023","Nova Scotia","2021A000212","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436701","4.3.6","3","","","","0"
"2022/2023","Nova Scotia","2021A000212","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436702","4.3.7","2","","","","0"
"2022/2023","New Brunswick","2021A000213","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436703","5.1.1","83493","","","","0"
"2022/2023","New Brunswick","2021A000213","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436704","5.1.2","45395","","","","0"
"2022/2023","New Brunswick","2021A000213","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436705","5.1.3","25746","","","","0"
"2022/2023","New Brunswick","2021A000213","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436706","5.1.4","3276","","","","0"
"2022/2023","New Brunswick","2021A000213","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436707","5.1.5","6486","","","","0"
"2022/2023","New Brunswick","2021A000213","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436708","5.1.6","1693","","","","0"
"2022/2023","New Brunswick","2021A000213","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436709","5.1.7","897","","","","0"
"2022/2023","New Brunswick","2021A000213","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436710","5.3.1","126","","","","0"
"2022/2023","New Brunswick","2021A000213","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436711","5.3.2","68","","","","0"
"2022/2023","New Brunswick","2021A000213","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436712","5.3.3","39","","","","0"
"2022/2023","New Brunswick","2021A000213","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436713","5.3.4","5","","","","0"
"2022/2023","New Brunswick","2021A000213","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436714","5.3.5","10","","","","0"
"2022/2023","New Brunswick","2021A000213","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436715","5.3.6","3","","","","0"
"2022/2023","New Brunswick","2021A000213","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436716","5.3.7","1","","","","0"
"2022/2023","Quebec","2021A000224","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436717","6.1.1","601911","","","","0"
"2022/2023","Quebec","2021A000224","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436718","6.1.2","512682","","","","0"
"2022/2023","Quebec","2021A000224","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436719","6.1.3","56805","","","","0"
"2022/2023","Quebec","2021A000224","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436720","6.1.4","28268","","","","0"
"2022/2023","Quebec","2021A000224","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436721","6.1.5","","..","","","0"
"2022/2023","Quebec","2021A000224","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436722","6.1.6","4156","","","","0"
"2022/2023","Quebec","2021A000224","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436723","6.1.7","0","","","","0"
"2022/2023","Quebec","2021A000224","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436724","6.3.1","88","","","","0"
"2022/2023","Quebec","2021A000224","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436725","6.3.2","75","","","","0"
"2022/2023","Quebec","2021A000224","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436726","6.3.3","8","","","","0"
"2022/2023","Quebec","2021A000224","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436727","6.3.4","4","","","","0"
"2022/2023","Quebec","2021A000224","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436728","6.3.5","","..","","","0"
"2022/2023","Quebec","2021A000224","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436729","6.3.6","1","","","","0"
"2022/2023","Quebec","2021A000224","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436730","6.3.7","0","","","","0"
"2022/2023","Ontario","2021A000235","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436731","7.1.1","1846970","","","","0"
"2022/2023","Ontario","2021A000235","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436732","7.1.2","1180595","","","","0"
"2022/2023","Ontario","2021A000235","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436733","7.1.3","472713","","","","0"
"2022/2023","Ontario","2021A000235","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436734","7.1.4","59836","","","","0"
"2022/2023","Ontario","2021A000235","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436735","7.1.5","95500","","","","0"
"2022/2023","Ontario","2021A000235","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436736","7.1.6","36355","","","","0"
"2022/2023","Ontario","2021A000235","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436737","7.1.7","1971","","","","0"
"2022/2023","Ontario","2021A000235","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436738","7.3.1","152","","","","0"
"2022/2023","Ontario","2021A000235","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436739","7.3.2","97","","","","0"
"2022/2023","Ontario","2021A000235","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436740","7.3.3","39","","","","0"
"2022/2023","Ontario","2021A000235","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436741","7.3.4","5","","","","0"
"2022/2023","Ontario","2021A000235","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436742","7.3.5","8","","","","0"
